name,location__city,location__coordinates,categories__001,bio__summary,bio__birthdate,bio__deathdate
Lil Durk,Chicago,"-87.649594, 41.7775982",rapper,"Durk Banks (born October 19, 1992), better known by his stage name Lil Durk, is an American rapper and singer-songwriter from Chicago, Illinois.",10/19/92,null
Fredo Santana,Chicago,"-87.644778, 41.779786",rapper,"Derrick Coleman (July 4, 1990 – January 19, 2018), better known by his stage name Fredo Santana, was an American rapper from Chicago, Illinois.",6/4/20,1/19/18
Chief Keef,Chicago,"-87.615860, 41.778065",rapper,"Keith Farrelle Cozart (born August 15, 1995), better known by his stage name Chief Keef, is an American rapper and record producer from Chicago, Illinois. He is the main artist that help popularize the Chicago rap subgenre drill.",8/15/95,null
Bankroll Fresh,Atlanta,"-84.39888, 33.73948",rapper,"Trentavious Zamon White Sr. (August 2, 1987 – March 4, 2016), better known by his stage name Bankroll Fresh or Yung Fresh, was an American rapper from Atlanta, Georgia.",8/2/87,3/4/16
Peewee Longway,Atlanta,"-84.32415, 33.75054",rapper,"Quincy Lamont Williams (born August 17, 1984), known by his stage name Peewee Longway is an American hip hop recording artist from Atlanta, Georgia.",8/17/84,null
Killer Mike,Atlanta,"-84.415278, 33.746667",rapper,"Michael Render (born April 20, 1975), better known by his stage name Killer Mike, is an American hip hop recording artist, actor and activist from Atlanta, Georgia. Recently he is mainly performing into the Run the Jewels group.",4/20/75,null
Lil Jon,Atlanta,"-84.46813, 33.761173",rapper,"Jonathan Smith (born January 17, 1971), better known by his stage name Lil Jon, is an American record producer, rapper, songwriter, entrepreneur, DJ and actor from Atlanta, Georgia.",1/17/71,null
Young Thug,Atlanta,"-84.354167, 33.524444",rapper,"Jeffery Lamar Williams (born August 16, 1991), best known professionally as Young Thug, is an American rapper from Atlanta, Georgia.",8/16/91,null
Ludacris,Atlanta,"-84.453453, 33.654840",rapper,"Christopher Brian ""Chris"" Bridges (born September 11, 1977), better known by his stage name Ludacris, is an American hip hop recording artist and actor from College Park Atlanta (Georgia).",9/11/77,null
2 Chainz,Atlanta,"-84.438736, 33.659392",rapper,"Tauheed Epps (born September 12, 1977), known professionally as 2 Chainz (formerly Tity Boi), is an American rapper from College Park, Georgia.",9/12/77,null
Outkast,Atlanta,"-84.451389, 33.676111",group,"Outkast is an American hip hop duo formed in 1991, in East Point, Atlanta, Georgia, composed of Atlanta-based rappers André ""André 3000"" Benjamin (formerly known as Dré) and Antwan ""Big Boi"" Patton.",null,null
Young Jeezy,Atlanta,"-84.372149, 33.75431",rapper,"Jay Wayne Jenkins (born September 28, 1977), better known by his stage name Young Jeezy (or simply Jeezy), is an American rapper from Atlanta, Georgia.",9/28/77,null
T.I.,Atlanta,"-84.461894, 33.770165",rapper,"Clifford Joseph Harris Jr. (born September 25, 1980), better known by his stage names T.I. and Tip (stylized as TIP), is an American rapper and actor from Atlanta, Georgia.",9/25/80,null
Gucci Mane,Atlanta,"-84.328557, 33.711944",rapper,"Radric Delantic Davis (born February 12, 1980), known professionally as Gucci Mane, is an American rapper from Atlanta, Georgia.",2/12/80,null
Future,Atlanta,"-84.32415, 33.76054",rapper,"Nayvadius DeMun Wilburn (born November 20, 1983), known professionally as Future, is an American hip hop recording artist. Born and raised in Atlanta, Georgia, Wilburn first became involved in music as part of the Dungeon Family collective.",11/20/83,null
